station_name,start_count,end_count,average_lat,average_lng
W 21 St & 6 Ave,14639,14670,40.74173969000001,-73.99415556
West St & Chambers St,13363,13441,40.71754834,-74.01322069000003
University Pl & E 14 St,11957,12039,40.734814000000014,-73.992085
E 41 St & Madison Ave (SE corner),12011,11914,40.752048999999985,-73.979635
Broadway & W 58 St,11731,11609,40.76695317,-73.98169333
11 Ave & W 41 St,11333,11342,40.76030096,-73.99884222
Ave A & E 14 St,11312,11290,40.73031071000896,-73.98047178983688
1 Ave & E 68 St,11160,11202,40.76500525000001,-73.95818491
Broadway & W 25 St,10980,10959,40.74286877312113,-73.98918628692627
8 Ave & W 31 St,10518,10489,40.7505853470215,-73.9946848154068
E 17 St & Broadway,10273,10355,40.737049840000005,-73.99009296
W 31 St & 7 Ave,10348,10277,40.749155999999985,-73.99160000000003
6 Ave & W 33 St,10556,10227,40.749012709999995,-73.98848395000002
7 Ave & Central Park South,10750,10169,40.76674055905949,-73.9790689945221
E 33 St & 1 Ave,10142,10165,40.74322681432171,-73.97449783980846
12 Ave & W 40 St,9747,9787,40.76087502,-74.00277667999998
W 41 St & 8 Ave,9830,9776,40.756405480000005,-73.99002620000002
Central Park S & 6 Ave,9708,9653,40.76590936000001,-73.97634151
Cooper Square & Astor Pl,9497,9630,40.72951496224949,-73.99075269699097
Cleveland Pl & Spring St,9183,9466,40.722103786686034,-73.99724900722504
W 30 St & 10 Ave,9492,9439,40.752694000000005,-74.002353
2 Ave & E 29 St,9350,9397,40.741723510974715,-73.97809267044067
W 20 St & 10 Ave,9288,9341,40.74568599999999,-74.00514100000001
West St & Liberty St,9277,9276,40.711444000000014,-74.014847
4 Ave & E 12 St,9245,9272,40.732647,-73.99010999999999
W 22 St & 10 Ave,9258,9271,40.74691958999999,-74.00451887
W 13 St & 5 Ave,9186,9183,40.73544500000001,-73.99431000000001
Broadway & E 14 St,9250,9083,40.73454567,-73.99074141999998
8 Ave & W 33 St,9032,9012,40.75155099999999,-73.993934
8 Ave & W 16 St,8889,8921,40.740983000000014,-74.00170200000001
Canal St & Rutgers St,8722,8807,40.71427487,-73.98990025
Broadway & E 21 St,8705,8707,40.739888408589955,-73.98958593606949
6 Ave & W 34 St,9041,8664,40.74964,-73.98805
Norfolk St & Broome St,8459,8521,40.7172274,-73.98802084
8 Ave & W 49 St,8600,8503,40.76171227910671,-73.98655101656914
Greenwich Ave & 8 Ave,8418,8488,40.739016912099984,-74.00263761030001
Mercer St & Bleecker St,8406,8488,40.72706363348307,-73.99662137031554
Amsterdam Ave & W 73 St,8597,8450,40.77966809007312,-73.98093044757842
10 Ave & W 14 St,8372,8420,40.741981599940225,-74.00831580162048
Clinton St & Grand St,8395,8417,40.71559509,-73.98702950000003
Broadway & W 29 St,8562,8403,40.7462009,-73.98855722999998
Lafayette St & E 8 St,8159,8392,40.73020660529956,-73.99102628231049
Bleecker St & Crosby St,8207,8377,40.72615604980409,-73.99510189890862
Grand Army Plaza & Central Park S,7894,8285,40.7643971,-73.97371465
Metropolitan Ave & Bedford Ave,8255,8283,40.71534825,-73.96024115999998
W 27 St & 7 Ave,8170,8210,40.74664700000001,-73.993915
W 24 St & 7 Ave,8119,8193,40.744876340000005,-73.99529885
Vesey Pl & River Terrace,8163,8158,40.7153379,-74.01658354000003
Washington Square E,7990,8096,40.73049393,-73.99572140000001
1 Ave & E 62 St,8041,8088,40.7612274,-73.96094022
E 43 St & Madison Ave,8171,8075,40.75354681867075,-73.97896572947502
Suffolk St & Stanton St,7911,7960,40.720664420000006,-73.98517977000003
E 44 St & Lexington Ave,7987,7955,40.752643,-73.974996
Broadway & W 61 St,8878,7946,40.77003010255044,-73.9819684624672
Christopher St & Greenwich St,7759,7931,40.73291553,-74.00711384000002
Central Park West & W 68 St,7876,7924,40.773406599999994,-73.97782542000002
Central Park West & W 72 St,7887,7913,40.775793766836664,-73.9762057363987
W 34 St & Hudson Blvd E,7876,7896,40.7551671907214,-74.00059908628464
11 Ave & W 27 St,7853,7889,40.751396,-74.005226
E 32 St & Park Ave,7780,7762,40.7457121,-73.98194829
Vesey St & Church St,7682,7719,40.71221958009051,-74.01047229766846
Columbus Ave & W 72 St,7636,7614,40.77705750000001,-73.97898475
Carmine St & 6 Ave,7615,7599,40.730385990000016,-74.00214988
Washington St & Gansevoort St,7464,7596,40.739323000000006,-74.008119
Lafayette St & Jersey St,7570,7593,40.72456089000001,-73.99565292999999
